Contract.Date,Transaction.Date,Address,Price,Block.Size.m2,Transaction.Type,Purpose,Advertise.Date,Bed.Num,Bath.Num,Ensuite.Num,Garage.Num,Carport.Num,Contract.Year,Street.Type,Street.Name
19/02/2007,22/03/2007,Murranji Street,180000,5542,Full transfer,Multiple unit dwelling,19/01/2007,1,1,NA,NA,1,2007,Street,Murranji 
12/03/2007,24/05/2007,Murranji Street,180000,330,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Murranji 
23/01/2007,23/02/2007,Springvale Drive,180000,4247,Full transfer,Multiple unit dwelling,1/12/2006,2,1,NA,NA,NA,2007,Drive,Springvale 
13/03/2007,2/04/2007,Springvale Drive,175000,4379,Full transfer,Multiple unit dwelling,7/11/2006,1,1,NA,NA,1,2007,Drive,Springvale 
18/01/2007,15/06/2007,Hawker Place,60000,3750,Full transfer,Consulting rooms,NA,NA,NA,NA,NA,NA,2007,Place,Hawker 
10/02/2007,2/04/2007,Epenarra Close,0,515,Full transfer,Medium density dwelling,11/01/2007,3,1,NA,1,NA,2007,Close,Epenarra 
7/10/2007,26/11/2007,Bonrook Street,0,5017,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Bonrook 
14/03/2007,26/07/2007,Springvale Drive,0,4247,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Drive,Springvale 
24/04/2007,14/11/2007,Elkedra Close,0,311,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2007,Close,Elkedra 
10/05/2007,19/09/2007,Kurundi Place,0,1127,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2007,Place,Kurundi 
27/06/2007,21/11/2007,Beetaloo Street,0,5520,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Beetaloo 
27/04/2007,6/07/2007,Alroy Circuit,0,1582,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2007,Circuit,Alroy 
15/04/2007,30/10/2007,Jinka Street,0,3362,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Jinka 
9/02/2007,22/02/2007,Woolner Circuit,0,1611,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2007,Circuit,Woolner 
14/04/2007,29/08/2007,Gorrie Close,0,357,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2007,Close,Gorrie 
1/01/2007,26/03/2007,Bonrook Street,0,3862,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Bonrook 
7/03/2007,2/08/2007,Andado Place,0,1800,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2007,Place,Andado 
1/02/2007,27/03/2007,Walhallow Street,0,437,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Walhallow 
1/09/2007,1/08/2008,Epenarra Close,NA,302,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2007,Close,Epenarra 
28/03/2007,NA,AA Beetaloo Street,NA,7773,Full transfer,NA,23/02/2007,2,1,NA,NA,1,2007,Street,Beetaloo 
28/05/2007,8/04/2008,Alroy Circuit,NA,970,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2007,Circuit,Alroy 
17/12/2007,18/01/2008,Springvale Drive,NA,4247,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Drive,Springvale 
13/02/2007,NA,Springvale Drive,NA,0,Full transfer,NA,18/01/2007,2,1,NA,NA,1,2007,Drive,Springvale 
22/05/2007,29/01/2008,Undoolya Street,NA,5017,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Undoolya 
3/10/2007,1/07/2008,Jinka Street,NA,10221,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2007,Street,Jinka 
7/09/2007,NA,B Beetaloo Street,NA,7773,Full transfer,NA,10/08/2007,2,1,NA,NA,1,2007,Street,Beetaloo 
11/02/2006,15/03/2006,Marrakai Street,875000,2809,Full transfer,Single residential dwelling,17/01/2006,4,1,1,NA,2,2006,Street,Marrakai 
12/11/2006,25/01/2007,Mainoru Place,807000,2342,Full transfer,Single residential dwelling,19/10/2006,6,1,1,2,NA,2006,Place,Mainoru 
26/04/2006,5/06/2006,Andado Place,790000,1808,Full transfer,Multiple unit dwelling,9/02/2006,4,1,1,2,NA,2006,Place,Andado 
17/03/2006,11/05/2006,Marrakai Street,740000,1547,Full transfer,Single residential dwelling,2/03/2006,4,2,1,2,NA,2006,Street,Marrakai 
5/04/2006,10/08/2006,Marrakai Street,735000,1296,Full transfer,Single residential dwelling,9/03/2006,3,1,1,NA,3,2006,Street,Marrakai 
15/11/2006,5/01/2007,Marrakai Street,732000,1225,Full transfer,Single residential dwelling,18/10/2006,4,1,1,4,NA,2006,Street,Marrakai 
13/06/2006,14/08/2006,Mataranka Street,657000,1108,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Mataranka 
17/05/2006,15/06/2006,Ambalindum Street,656000,1161,Full transfer,Single residential dwelling,2/04/2006,5,1,2,0,3,2006,Street,Ambalindum 
14/07/2006,7/11/2006,Mainoru Place,640000,1572,Full transfer,Single residential dwelling,19/07/2006,4,1,1,2,NA,2006,Place,Mainoru 
17/08/2006,16/10/2006,Ambalindum Street,638000,1112,Full transfer,Single residential dwelling,18/05/2006,5,2,1,2,NA,2006,Street,Ambalindum 
1/09/2006,29/01/2007,Andado Place,625000,4834,Full transfer,Multiple unit dwelling,18/08/2006,4,2,NA,2,NA,2006,Place,Andado 
6/11/2006,29/01/2007,Moroak Street,586000,1173,Full transfer,Single residential dwelling,11/10/2006,4,1,1,2,NA,2006,Street,Moroak 
22/09/2006,21/12/2006,Moroak Street,580000,1256,Full transfer,Single residential dwelling,22/07/2006,4,1,1,1,1,2006,Street,Moroak 
3/05/2006,6/08/2006,Mataranka Street,565000,908,Full transfer,Single residential dwelling,1/05/2006,NA,NA,NA,NA,NA,2006,Street,Mataranka 
31/10/2006,18/01/2007,Murranji Street,535000,1002,Full transfer,Single residential dwelling,19/09/2006,5,1,1,2,NA,2006,Street,Murranji 
3/03/2006,20/06/2006,Murranji Street,510000,1050,Full transfer,Single residential dwelling,19/01/2006,4,1,2,2,NA,2006,Street,Murranji 
15/11/2006,NA,Murranji Street,505000,953,Full transfer,NA,31/08/2006,4,2,1,0,2,2006,Street,Murranji 
29/07/2006,2/11/2006,Erldunda Circuit,505000,952,Full transfer,Single residential dwelling,4/07/2006,4,1,1,0,2,2006,Circuit,Erldunda 
27/02/2006,31/03/2006,Murranji Street,502000,795,Full transfer,Single residential dwelling,31/01/2006,4,1,1,2,NA,2006,Street,Murranji 
8/02/2006,10/03/2006,Alexandria Street,500000,831,Full transfer,Single residential dwelling,29/10/2005,4,1,1,2,NA,2006,Street,Alexandria 
4/04/2006,26/05/2006,Woolner Circuit,497000,1064,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Circuit,Woolner 
16/10/2006,16/11/2006,Elsey Street,485000,1614,Full transfer,Multiple unit dwelling,7/09/2006,4,1,1,2,NA,2006,Street,Elsey 
8/07/2006,28/08/2006,Elsey Street,442000,976,Full transfer,Single residential dwelling,15/06/2006,3,1,NA,1,NA,2006,Street,Elsey 
18/08/2006,29/08/2006,Murranji Street,420000,826,Full transfer,Single residential dwelling,19/06/2006,3,1,1,2,NA,2006,Street,Murranji 
23/03/2006,23/05/2006,Jinka Street,419000,7726,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
23/05/2006,12/09/2006,Springvale Drive,405000,1176,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
16/05/2006,NA,Jinka Street,380000,6092,Full transfer,NA,24/03/2006,3,2,1,2,NA,2006,Street,Jinka 
10/05/2006,20/06/2006,Jinka Street,380000,6092,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
27/01/2006,15/07/2006,Murranji Street,366000,1047,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Murranji 
26/01/2006,NA,Murranji Street,365000,1047,Full transfer,NA,22/12/2005,3,2,NA,2,NA,2006,Street,Murranji 
18/05/2006,4/08/2006,Jinka Street,348000,10583,Full transfer,Multiple unit dwelling,20/04/2006,3,1,1,0,NA,2006,Street,Jinka 
9/10/2006,NA,Elkedra Close,340000,288,Full transfer,NA,21/09/2006,3,1,NA,1,NA,2006,Close,Elkedra 
10/05/2006,19/06/2006,Epenarra Close,338000,296,Full transfer,Medium density dwelling,28/02/2006,3,1,1,1,NA,2006,Close,Epenarra 
27/05/2006,1/08/2006,Walhallow Street,332500,327,Full transfer,Medium density dwelling,24/04/2006,3,1,1,1,NA,2006,Street,Walhallow 
25/08/2006,29/10/2006,Marqua Place,331000,330,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Place,Marqua 
16/10/2006,4/12/2006,Epenarra Close,330000,302,Full transfer,Medium density dwelling,20/09/2006,3,1,NA,1,NA,2006,Close,Epenarra 
24/11/2006,5/01/2007,Elkedra Close,326000,297,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Close,Elkedra 
11/04/2006,29/05/2006,Murranji Street,325000,933,Full transfer,Single residential dwelling...,NA,NA,NA,NA,NA,NA,2006,Street,Murranji 
14/03/2006,31/05/2006,Jinka Street,324000,7726,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
14/03/2006,NA,Jinka Street,324000,NA,Full transfer,NA,25/01/2006,2,1,NA,1,NA,2006,Street,Jinka 
28/06/2006,11/08/2006,Elkedra Close,312500,353,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Close,Elkedra 
29/06/2006,NA,Elkedra Close,312000,353,Full transfer,NA,16/05/2006,3,1,NA,0,2,2006,Close,Elkedra 
16/03/2006,2/05/2006,Elkedra Close,309000,297,Full transfer,Medium density dwelling,22/02/2006,2,1,NA,0,1,2006,Close,Elkedra 
3/07/2006,6/08/2006,Elkedra Close,307000,353,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Close,Elkedra 
21/07/2006,12/09/2006,Elkedra Close,305000,314,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Close,Elkedra 
9/10/2006,22/11/2006,Gorrie Close,305000,279,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Close,Gorrie 
22/12/2006,14/02/2007,Murranji Street,300000,332,Full transfer,Medium density dwelling,23/08/2006,3,1,NA,1,NA,2006,Street,Murranji 
19/01/2006,29/03/2006,Jinka Street,300000,6071,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
2/05/2006,22/06/2006,Jinka Street,300000,7726,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
20/02/2006,NA,Jinka Street,297000,10583,Full transfer,NA,22/11/2005,3,1,NA,0,1,2006,Street,Jinka 
17/02/2006,17/03/2006,Jinka Street,297000,10583,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
27/04/2006,19/06/2006,Jinka Street,296500,10221,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
20/12/2006,6/02/2007,Jinka Street,292000,10221,Full transfer,Multiple unit dwelling,22/11/2006,3,1,NA,0,1,2006,Street,Jinka 
20/12/2006,2/02/2007,Jinka Street,282500,10221,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
26/06/2006,22/08/2006,Walhallow Street,268000,8574,Full transfer,Multiple unit dwelling,8/06/2006,2,1,NA,0,1,2006,Street,Walhallow 
5/10/2006,13/11/2006,Springvale Drive,226500,4017,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
26/05/2006,22/06/2006,Springvale Drive,225000,3934,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
11/06/2006,NA,Springvale Drive,225000,3934,Full transfer,NA,28/04/2006,3,2,NA,0,1,2006,Drive,Springvale 
16/05/2006,26/06/2006,Hawker Place,215000,3750,Full transfer,Consulting rooms,NA,NA,NA,NA,NA,NA,2006,Place,Hawker 
26/04/2006,23/05/2006,Springvale Drive,215000,3934,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
1/09/2006,2/11/2006,Beetaloo Street,205000,7773,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Beetaloo 
3/03/2006,24/03/2006,Springvale Drive,200000,4017,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
22/12/2006,12/03/2007,Springvale Drive,195000,4379,Full transfer,Multiple unit dwelling,14/11/2006,2,1,NA,0,1,2006,Drive,Springvale 
22/12/2006,16/02/2007,Bonrook Street,195000,3862,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Bonrook 
1/06/2006,19/07/2006,Beetaloo Street,195000,5520,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Beetaloo 
23/06/2006,24/07/2006,Springvale Drive,192000,4017,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
19/01/2006,20/02/2006,Beetaloo Street,191000,7773,Full transfer,Multiple unit dwelling,14/12/2005,2,NA,NA,0,1,2006,Street,Beetaloo 
2/11/2006,19/02/2007,Murranji Street,189950,5542,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Murranji 
16/03/2006,18/04/2006,Springvale Drive,188000,4247,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
6/04/2006,5/06/2006,Springvale Drive,188000,4379,Full transfer,Multiple unit dwelling,3/03/2006,2,1,NA,0,1,2006,Drive,Springvale 
4/04/2006,NA,Springvale Drive,188000,4247,Full transfer,NA,8/12/2005,2,1,NA,0,1,2006,Drive,Springvale 
24/03/2006,16/05/2006,Bonrook Street,185500,3862,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Bonrook 
23/02/2006,16/03/2006,Springvale Drive,185000,4379,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
15/02/2006,15/06/2006,Springvale Drive,184000,4247,Full transfer,Multiple unit dwelling,25/01/2006,2,1,NA,0,1,2006,Drive,Springvale 
22/02/2006,21/06/2006,Springvale Drive,183000,4017,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
7/03/2006,NA,Springvale Drive,177000,3934,Full transfer,NA,9/11/2005,2,1,NA,0,1,2006,Drive,Springvale 
2/03/2006,28/03/2006,Springvale Drive,177000,3934,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Drive,Springvale 
19/07/2006,24/08/2006,Springvale Drive,160000,4379,Full transfer,Multiple unit dwelling,20/04/2006,1,1,NA,NA,NA,2006,Drive,Springvale 
3/02/2006,17/03/2006,Murranji Street,116000,307,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Murranji 
12/05/2006,17/08/2007,Walhallow Street,0,8574,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Walhallow 
9/11/2006,5/01/2007,Alexandria Street,0,930,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Alexandria 
3/12/2006,18/12/2007,Florina Place,0,1608,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Place,Florina 
12/06/2006,10/01/2007,Murranji Street,0,953,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Murranji 
14/05/2006,22/03/2007,Jinka Street,0,10583,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
24/10/2006,5/01/2007,Erldunda Circuit,0,1196,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Circuit,Erldunda 
23/09/2006,5/12/2006,Murranji Street,NA,330,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Murranji 
29/04/2006,4/07/2006,Moroak Street,NA,1127,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Moroak 
18/05/2006,27/07/2006,Murranji Street,NA,869,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Murranji 
1/02/2006,7/04/2006,Dungowan Street,NA,748,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Dungowan 
11/10/2006,27/11/2006,Erldunda Circuit,NA,745,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Circuit,Erldunda 
9/05/2006,22/08/2006,Erldunda Circuit,NA,952,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Circuit,Erldunda 
22/03/2006,1/12/2006,Anningie Place,NA,1131,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Place,Anningie 
1/09/2006,NA,C Beetaloo Street,NA,7773,Full transfer,NA,30/05/2006,2,1,NA,0,1,2006,Street,Beetaloo 
17/03/2006,28/07/2006,Mainoru Place,NA,1572,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Place,Mainoru 
21/02/2006,21/07/2006,Jinka Street,NA,6071,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Jinka 
5/12/2006,22/06/2011,Alroy Circuit,NA,792,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Circuit,Alroy 
29/01/2006,1/08/2006,Walhallow Street,NA,327,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Walhallow 
15/02/2006,11/04/2006,Erldunda Circuit,NA,802,Partial transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Circuit,Erldunda 
19/01/2006,NA,Unit  Jinka Street,NA,6071,Full transfer,NA,7/12/2005,3,1,1,1,NA,2006,Street,Unit  Jinka 
27/12/2006,18/07/2008,Goodparla Street,NA,1215,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2006,Street,Goodparla 
16/12/2005,6/11/2006,Hawker Place,1375000,2538,Full transfer,Residential,NA,NA,NA,NA,NA,NA,2005,Place,Hawker 
25/07/2005,18/08/2005,Marrakai Street,780000,2295,Full transfer,Single residential dwelling,10/03/2005,7,2,1,4,NA,2005,Street,Marrakai 
12/11/2005,4/01/2006,Ambalindum Street,775000,2354,Full transfer,Single residential dwelling,20/10/2005,4,1,1,0,2,2005,Street,Ambalindum 
8/11/2005,9/02/2006,Anningie Place,665000,1758,Full transfer,Single residential dwelling,5/10/2005,5,2,1,2,1,2005,Place,Anningie 
28/06/2005,5/08/2005,Goodparla Street,640000,1163,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Goodparla 
21/10/2005,9/02/2006,Alroy Circuit,630000,948,Full transfer,Single residential dwelling,22/06/2005,4,1,2,2,NA,2005,Circuit,Alroy 
23/03/2005,23/05/2005,Andado Place,620000,1800,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Place,Andado 
1/03/2005,4/05/2005,Tanumbirini Street,620000,1274,Full transfer,Single residential dwelling,27/10/2004,4,1,1,2,NA,2005,Street,Tanumbirini 
10/12/2005,10/02/2006,Erldunda Circuit,603500,1215,Full transfer,Single residential dwelling,11/11/2005,5,2,1,2,1,2005,Circuit,Erldunda 
30/05/2005,21/09/2005,Elsey Street,600000,1614,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Elsey 
9/12/2005,1/02/2006,Kurundi Place,582000,1141,Full transfer,Single residential dwelling,10/11/2005,5,2,1,2,NA,2005,Place,Kurundi 
29/04/2005,20/06/2005,Alroy Circuit,550000,875,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Circuit,Alroy 
26/08/2005,9/12/2005,Ambalindum Street,537000,1287,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Ambalindum 
4/03/2005,8/04/2005,Murranji Street,520000,1214,Full transfer,Single residential dwelling,16/09/2004,4,1,1,1,1,2005,Street,Murranji 
5/10/2005,22/01/2006,Erldunda Circuit,515000,756,Full transfer,Single residential dwelling,22/09/2005,4,1,1,0,3,2005,Circuit,Erldunda 
15/04/2005,NA,Erldunda Circuit,490000,868,Full transfer,NA,30/03/2005,4,1,1,0,2,2005,Circuit,Erldunda 
15/09/2005,7/12/2005,Ambalindum Street,485000,1724,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Ambalindum 
14/12/2005,NA,Delamere Street,480000,NA,Full transfer,NA,15/11/2005,3,1,1,2,NA,2005,Street,Delamere 
14/12/2005,31/01/2006,Delamere Street,480000,18341,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Delamere 
16/09/2005,26/10/2005,Alroy Circuit,463000,770,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Circuit,Alroy 
28/01/2005,14/04/2005,Alexandria Street,460000,804,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Alexandria 
30/05/2005,15/07/2005,Tobermorey Place,440000,1098,Full transfer,Single residential dwelling,11/04/2005,4,1,1,2,1,2005,Place,Tobermorey 
11/03/2005,4/05/2005,Erldunda Circuit,430000,1105,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Circuit,Erldunda 
7/07/2005,20/09/2005,Alroy Circuit,430000,825,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Circuit,Alroy 
15/03/2005,28/04/2005,Erldunda Circuit,420000,743,Full transfer,Single residential dwelling,16/02/2005,4,1,1,2,NA,2005,Circuit,Erldunda 
4/06/2005,18/07/2005,Elsey Street,410000,1051,Full transfer,Single residential dwelling,11/05/2005,4,1,1,2,NA,2005,Street,Elsey 
4/10/2005,10/11/2005,Jinka Street,405000,6092,Full transfer,Multiple unit dwelling,5/09/2005,3,1,1,2,NA,2005,Street,Jinka 
9/06/2005,19/07/2005,Murranji Street,400000,880,Full transfer,Single residential dwelling,30/03/2005,4,1,1,2,NA,2005,Street,Murranji 
7/07/2005,10/08/2005,Alroy Circuit,395000,825,Full transfer,Single residential dwelling,29/06/2005,3,1,NA,1,1,2005,Circuit,Alroy 
14/07/2005,24/08/2005,Jinka Street,390000,6092,Full transfer,Multiple unit dwelling,13/04/2005,3,1,1,2,NA,2005,Street,Jinka 
27/06/2005,3/08/2005,Jinka Street,379000,6092,Full transfer,Multiple unit dwelling,13/05/2005,3,1,1,2,NA,2005,Street,Jinka 
4/05/2005,9/06/2005,Erldunda Circuit,365000,952,Full transfer,Single residential dwelling,NA,NA,NA,NA,NA,NA,2005,Circuit,Erldunda 
4/03/2005,12/04/2005,Murranji Street,330000,399,Full transfer,Medium density dwelling,7/01/2005,3,1,NA,1,NA,2005,Street,Murranji 
18/02/2005,30/03/2005,Murranji Street,322200,287,Full transfer,Medium density dwelling,11/02/2005,3,1,NA,1,NA,2005,Street,Murranji 
20/12/2005,25/01/2006,Gorrie Close,316000,673,Full transfer,Medium density dwelling,23/11/2005,2,1,NA,0,2,2005,Close,Gorrie 
18/05/2005,30/06/2005,Elkedra Close,305000,331,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2005,Close,Elkedra 
23/06/2005,13/07/2005,Gorrie Close,300000,372,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2005,Close,Gorrie 
16/09/2005,19/10/2005,Murranji Street,295000,309,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Murranji 
28/01/2005,28/02/2005,Alexandria Street,290000,983,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Alexandria 
21/04/2005,1/06/2005,Elkedra Close,289000,297,Full transfer,Medium density dwelling,21/02/2005,2,1,NA,0,1,2005,Close,Elkedra 
18/04/2005,15/12/2005,Epenarra Close,285000,316,Full transfer,Medium density dwelling,NA,NA,NA,NA,NA,NA,2005,Close,Epenarra 
7/04/2005,20/06/2005,Elkedra Close,280000,283,Full transfer,Medium density dwelling,2/03/2005,3,1,1,1,NA,2005,Close,Elkedra 
12/05/2005,20/06/2005,Jinka Street,276000,10583,Full transfer,Multiple unit dwelling,11/02/2005,3,1,NA,0,1,2005,Street,Jinka 
22/12/2005,13/02/2006,Jinka Street,269000,10221,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Jinka 
6/10/2005,3/11/2005,Walhallow Street,255000,8574,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Walhallow 
24/09/2005,NA,Walhallow Street,255000,475,Full transfer,NA,1/09/2005,2,NA,NA,1,1,2005,Street,Walhallow 
28/01/2005,18/02/2005,Jinka Street,252000,10221,Full transfer,Multiple unit dwelling,24/11/2004,2,1,NA,1,NA,2005,Street,Jinka 
27/09/2005,28/10/2005,Jinka Street,250000,10221,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Jinka 
4/10/2005,14/11/2005,Hawker Place,240000,447,Full transfer,Non retail commercial uses,NA,NA,NA,NA,NA,NA,2005,Place,Hawker 
25/10/2005,4/01/2006,Springvale Drive,220000,3934,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Drive,Springvale 
11/05/2005,21/06/2005,Hawker Place,207595,3750,Full transfer,"Office,professional suite",NA,NA,NA,NA,NA,NA,2005,Place,Hawker 
31/08/2005,5/10/2005,Beetaloo Street,202000,5520,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Beetaloo 
24/07/2005,NA,Springvale Drive,200000,3934,Full transfer,NA,11/02/2005,3,1,1,0,1,2005,Drive,Springvale 
9/03/2005,12/04/2005,Springvale Drive,196000,4017,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Drive,Springvale 
22/09/2005,5/12/2005,Springvale Drive,190000,4017,Full transfer,Multiple unit dwelling,8/04/2005,3,1,1,0,1,2005,Drive,Springvale 
12/12/2005,10/01/2006,Springvale Drive,188000,3934,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Drive,Springvale 
14/03/2005,4/05/2005,Beetaloo Street,185000,5520,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Beetaloo 
14/10/2005,15/11/2005,Beetaloo Street,184000,5520,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Beetaloo 
5/08/2005,7/09/2005,Bonrook Street,180000,3862,Full transfer,Multiple unit dwelling,1/06/2005,2,1,NA,0,1,2005,Street,Bonrook 
24/06/2005,2/08/2005,Beetaloo Street,175000,5520,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Beetaloo 
19/09/2005,26/10/2005,Beetaloo Street,170000,7773,Full transfer,Multiple unit dwelling,NA,NA,NA,NA,NA,NA,2005,Street,Beetaloo 
11/05/2005,21/06/2005,Hawker Place,159905,3750,Full transfer,"Office,professional suite",NA,NA,NA,NA,NA,NA,2005,Place,Hawker 
25/02/2005,13/05/2005,Hawker Place,159500,3750,Full transfer,"Office,professional suite",NA,NA,NA,NA,NA,NA,2005,Place,Hawker 
